Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B/3B,Jesmuel Valentin (12740062),Jesmuel Valentin,12740062,2B/3B,3000,PHI@LAD 05/31/2019 10:10PM ET,PHI,0
C,Connor Wong (12740223),Connor Wong,12740223,C,3000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
2B/SS,Omar Estevez (12740251),Omar Estevez,12740251,2B/SS,3000,PHI@LAD 05/31/2019 10:10PM ET,LAD,0
1B/3B,Pedro Alvarez (12739852),Pedro Alvarez,12739852,1B/3B,3000,MIA@SD 05/31/2019 10:10PM ET,MIA,0
3B/SS,Miguel Rojas (12739874),Miguel Rojas,12739874,3B/SS,3000,MIA@SD 05/31/2019 10:10PM ET,MIA,5.1
2B/SS,Yadiel Rivera (12739972),Yadiel Rivera,12739972,2B/SS,3000,MIA@SD 05/31/2019 10:10PM ET,MIA,0
C,Austin Hedges (12740017),Austin Hedges,12740017,C,3000,MIA@SD 05/31/2019 10:10PM ET,SD,5.1
C,Luis Torrens (12740139),Luis Torrens,12740139,C,3000,MIA@SD 05/31/2019 10:10PM ET,SD,0
2B/SS,Kristopher Negron (12739820),Kristopher Negron,12739820,2B/SS,3000,LAA@SEA 05/31/2019 10:10PM ET,SEA,0
1B/3B,Jefry Marte (12739876),Jefry Marte,12739876,1B/3B,3000,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
C,Jose Briceno (12739957),Jose Briceno,12739957,C,3000,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
C,Tom Murphy (12740069),Tom Murphy,12740069,C,3000,LAA@SEA 05/31/2019 10:10PM ET,SEA,4.9
OF,Braden Bishop (12740085),Braden Bishop,12740085,OF,3000,LAA@SEA 05/31/2019 10:10PM ET,SEA,1.5
1B,Matt Thaiss (12740129),Matt Thaiss,12740129,1B,3000,LAA@SEA 05/31/2019 10:10PM ET,LAA,0
